No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
2    17:37:29.302   120:32:41.455  120:33:20.534  39.079     39.079     Paused by player, Unpause by player
3    17:49:30.952   120:45:22.168  120:45:45.531  23.363     23.363     Paused by player, Unpause by player
4    17:52:34.052   120:48:48.644  120:48:51.757  3.113      3.113      Paused by player, Unpause by player
0    17:55:41.352   120:51:59.057  120:52:01.248  2.191                 Paused by player, Unpause by changed look direction
1    17:56:03.604   120:52:23.508  120:52:26.373  2.865      2.865      Paused by player, Unpause by player
2    17:56:05.654   120:52:28.435  120:52:28.989  0.554      0.554      Paused by player, Unpause by player
3    17:56:06.454   120:52:29.753  120:52:30.782  1.029      1.029      Paused by player, Unpause by player
4    17:57:36.054   120:54:00.402  120:54:48.001  47.599     47.599     Paused by player, Unpause by player
5    17:58:16.004   120:55:27.967  121:02:39.939  431.972    431.972    Paused by player, Unpause by player
0    17:58:18.554   121:02:42.495  121:02:44.694  2.199                 Paused by player, Unpause by rendered
1    17:58:22.429   121:02:48.566  121:03:06.749  18.183     18.183     Paused by player, Unpause by player
0    18:12:08.329   121:16:52.687  121:16:54.583  1.896                 Paused by player, Unpause by changed look direction
0    18:12:10.131   121:16:56.370  121:16:59.074  2.704                 Paused by player, Unpause by rendered
1    18:12:13.933   121:17:02.859  121:28:33.727  690.868    690.868    Paused by player, Unpause by player
2    18:12:16.983   121:28:36.773  121:28:37.107  0.334      0.334      Paused by player, Unpause by player
0    18:12:20.033   121:28:40.142  121:28:41.951  1.809                 Paused by player, Unpause by changed look direction
1    18:12:35.788   121:28:57.686  121:28:58.178  0.492      0.492      Paused by player, Unpause by player
2    18:12:37.138   121:28:59.524  121:35:39.984  400.460    400.460    Paused by player, Unpause by player
0    18:12:44.638   121:35:47.458  121:35:49.654  2.196                 Paused by player, Unpause by rendered
1    18:13:02.520   121:36:07.529  121:36:35.192  27.663     27.663     Paused by player, Unpause by player
0    18:14:09.120   121:37:41.794  121:37:43.993  2.199                 Paused by player, Unpause by rendered
1    18:14:11.777   121:37:46.673  121:38:11.528  24.855     24.855     Paused by player, Unpause by player
0    18:19:04.877   121:43:04.647  121:43:07.143  2.496                 Paused by player, Unpause by rendered
1    18:19:32.354   121:43:34.628  121:43:36.042  1.414      1.414      Paused by player, Unpause by player
2    18:19:39.054   121:43:42.743  121:43:56.184  13.441     13.441     Paused by player, Unpause by player
3    18:22:10.004   121:46:27.092  121:46:27.155  0.063      0.063      Paused by player, Unpause by player
0    18:22:10.404   121:46:27.569  121:46:30.700  3.131                 Paused by player, Unpause by changed look direction
1    18:22:44.161   121:47:04.436  121:49:57.445  173.009    173.009    Paused by player, Unpause by player
0    18:22:45.361   121:49:58.623  121:50:01.044  2.421                 Paused by player, Unpause by changed look direction
1    18:22:56.118   121:50:11.818  121:50:12.403  0.585      0.585      Paused by player, Unpause by player
2    18:22:58.068   121:50:14.354  121:51:38.661  84.307     84.307     Paused by player, Unpause by player
0    18:22:59.768   121:51:40.343  121:51:42.416  2.073                 Paused by player, Unpause by rendered
1    18:23:08.993   121:51:51.670  121:56:33.379  281.709    281.709    Paused by player, Unpause by player
