Tick 1111771(1111314), Delay 108 ms, IGT 15:26:03.106, RTA 97:33:00.881-97:33:00.989
Tick 1111772(1111315), Delay 0 ms, IGT 15:26:03.156, RTA 97:33:00.989-97:33:00.989
Tick 1111773(1111316), Delay 42 ms, IGT 15:26:03.206, RTA 97:33:00.989-97:33:01.031
Tick 1111803(1111346), Delay 139 ms, IGT 15:26:04.706, RTA 97:33:02.483-97:33:02.622
Tick 1111804(1111347), Delay 0 ms, IGT 15:26:04.756, RTA 97:33:02.622-97:33:02.622
Tick 1111805(1111348), Delay 12 ms, IGT 15:26:04.806, RTA 97:33:02.622-97:33:02.634
Tick 1112159(1111702), Delay 112 ms, IGT 15:26:22.506, RTA 97:33:20.285-97:33:20.397
Tick 1112160(1111703), Delay 0 ms, IGT 15:26:22.556, RTA 97:33:20.397-97:33:20.397
Tick 1112161(1111704), Delay 34 ms, IGT 15:26:22.606, RTA 97:33:20.397-97:33:20.431
Tick 1112207(1111750), Delay 45 ms, IGT 15:26:24.906, RTA 97:33:22.685-97:33:22.730
Tick 1112239(1111782), Delay 105 ms, IGT 15:26:26.506, RTA 97:33:24.285-97:33:24.390
Tick 1112240(1111783), Delay 0 ms, IGT 15:26:26.556, RTA 97:33:24.390-97:33:24.390
Tick 1112241(1111784), Delay 42 ms, IGT 15:26:26.606, RTA 97:33:24.390-97:33:24.432
Tick 1112304(1111847), Delay 134 ms, IGT 15:26:29.756, RTA 97:33:27.533-97:33:27.667
Tick 1112305(1111848), Delay 0 ms, IGT 15:26:29.806, RTA 97:33:27.667-97:33:27.667
Tick 1112306(1111849), Delay 18 ms, IGT 15:26:29.856, RTA 97:33:27.667-97:33:27.685
Tick 1112349(1111892), Delay 104 ms, IGT 15:26:32.006, RTA 97:33:29.784-97:33:29.888
Tick 1112350(1111893), Delay 1 ms, IGT 15:26:32.056, RTA 97:33:29.888-97:33:29.889
Tick 1112351(1111894), Delay 42 ms, IGT 15:26:32.106, RTA 97:33:29.889-97:33:29.931
Tick 1112372(1111915), Delay 105 ms, IGT 15:26:33.156, RTA 97:33:30.935-97:33:31.040
Tick 1112373(1111916), Delay 0 ms, IGT 15:26:33.206, RTA 97:33:31.040-97:33:31.040
Tick 1112374(1111917), Delay 42 ms, IGT 15:26:33.256, RTA 97:33:31.040-97:33:31.082
Tick 1112378(1111921), Delay 65 ms, IGT 15:26:33.456, RTA 97:33:31.232-97:33:31.297
Tick 1112379(1111922), Delay 38 ms, IGT 15:26:33.506, RTA 97:33:31.297-97:33:31.335
Tick 1112386(1111929), Delay 108 ms, IGT 15:26:33.856, RTA 97:33:31.632-97:33:31.740
Tick 1112387(1111930), Delay 0 ms, IGT 15:26:33.906, RTA 97:33:31.740-97:33:31.740
Tick 1112388(1111931), Delay 42 ms, IGT 15:26:33.956, RTA 97:33:31.740-97:33:31.782
